area,name,sec,km2,municipalities,pop2022,pop2011
M,Madrid,CN,2890.1,52,6258132,6052247
B,Barcelona,CN,3271.5,165,5207691,5030679
VA,València,CN,628.8,45,1580659,1551585
SE,Sevilla,CN,1529.2,24,1312739,1294867
ML,Málaga,CN,817.4,8,1014595,953251
BI,Bilbo,CN,504.0,35,900420,910578
AS,Asturies,CN,1462.9,18,787400,835053
ZA,Zaragoza,CN,2295.4,15,754877,746152
AC,Alacant-Elx,CN,683.3,6,720111,698662
MU,Murcia,CN,1230.9,10,679542,643854
CA,Bahía de Cádiz-Jerez,CN,1792.0,6,638807,642504
VG,Vigo-Pontevedra,CN,743.2,14,586400,587843
GR,Granada,CN,829.6,31,534621,517580
CÑ,A Coruña,CN,493.9,10,419110,410401
DO,Donostia,CN,376.8,13,412087,403807
VL,Valladolid,CN,746.4,17,405241,408647
TA,Tarragona-Reus,CN,356.7,16,395955,382304
IÑ,Iruña,CN,391.6,18,365410,340691
SA,Santander-Torrelavega,CN,256.8,8,322372,328635
CO,Córdoba,CN,1255.2,1,319515,328659
CL,Castelló,CN,292.6,6,309646,315617
GZ,Gasteiz,CN,276.8,1,253672,239562
AG,Bahía de Algeciras,CN,583.3,4,242726,235572
CR,Campo de Cartagena,CN,582.9,2,237617,233743
AL,Almería,CN,400.4,5,232516,219650
CB,Costa Blanca,CN,316.4,9,233468,237458
CT,Costa del Sol,CN,399.8,3,233981,209815
LE,León,CN,411.2,8,188502,199597
ST,Santiago de Compostela,CN,994.7,10,185419,178965
SL,Salamanca,CN,112.5,6,182669,191034
LO,Logroño,CN,217.9,6,177277,175230
BU,Burgos,CN,148.6,2,175684,181187
HU,Huelva,CN,230.5,3,173464,243229
AB,Albacete,CN,1125.9,1,172357,171390
LL,Lleida,CN,426.3 ,8,171967,166874
GU,Guadalajara,CN,391.2,7,165191,155245
GI,Girona,CN,180.3,9,164754,152477
BD,Badajoz,CN,1531.9,3,157836,157122
JN,Jaén,CN,733.4,4,136862,141742
OU,Ourense,CN,253.3,5,130122,131695
FE,Ferrol,CN,212.3,5,126016,136698
GD,Gandia,CN,148.1,13,125856,131289
TO,Toledo,CN,548.1,8,125884,118174
CS,Cáceres,CN,1938.0,4,106031,106345
MR,Manresa,CN,96.9,4,104909,102739
OR,Orihuela,CN,405.2,6,104665,
DN,Denia-Xavea,CN,253.0,6,103867,
RO,Roquetas de Mar,CN,59.7,1,102881,
@N,Narbonne,CN,,,,
@M,Marseille,CN,,,,
@T,Montpellier,CN,,,,
@S,Nîmes,CN,,,,
@C,Catalunya Nord,CN,,,,
@A,Avignon,CN,,,,
@R,Provence,CN,,,,
@@,Paris,CN,,,,